 Created on  8Aug2024 at 19:16:26 
   -0.145820    0.964034   -0.222206
   -0.230917   -0.858655    0.457589
   -0.956557    0.069970    0.283026
   -0.210486   -0.942263   -0.260455
   -0.492015    0.435721    0.753703
   -0.170725   -0.976925    0.128334
    0.326550    0.649793   -0.686392
   -0.247283   -0.869684   -0.427201
   -0.272444    0.833771   -0.480209
   -0.832229   -0.494525    0.250677
    0.836607   -0.335415    0.433112
   -0.227612   -0.903119    0.364099
   -0.041896    0.874838   -0.482600
   -0.885596    0.073631    0.458582
    0.865606   -0.337353    0.370026
    0.166953   -0.749264   -0.640882
    0.504546    0.676680    0.536226
   -0.909122    0.293698   -0.295364
    0.350061   -0.930236   -0.110079
   -0.865565   -0.498927   -0.043236
   -0.039639   -0.310817   -0.949643
   -0.737792    0.430066   -0.520294
    0.790474   -0.289783   -0.539608
   -0.000160   -0.233401    0.972381
   -0.581971   -0.396953   -0.709745
   -0.716700   -0.694882    0.058984
    0.966699   -0.148688   -0.208290
    0.696963    0.210116    0.685634
    0.234536   -0.506282   -0.829862
    0.508149   -0.846214   -0.160334
   -0.779662    0.441901   -0.443679
    0.484743   -0.788875   -0.377757
    0.602946    0.756397   -0.253613
   -0.240583   -0.878195    0.413392
    0.508742    0.855470   -0.096711
   -0.891283   -0.379179    0.248671
    0.476571    0.878956    0.017767
   -0.849578    0.345005    0.398984
    0.508870    0.641869   -0.573633
   -0.103653   -0.992688   -0.061860
   -0.496066    0.850728    0.173724
   -0.815152   -0.573017   -0.084730
    0.647619    0.041803   -0.760816
    0.209230   -0.846648   -0.489296
   -0.822243   -0.422167   -0.381694
   -0.259997   -0.751997    0.605725
   -0.862549    0.012359   -0.505822
   -0.223380   -0.604442    0.764691
   -0.595787    0.567556    0.568259
   -0.634755    0.772353   -0.023606
    0.834419    0.085129    0.544516
    0.455321   -0.348776   -0.819169
    0.242342    0.962527   -0.121701
   -0.995069    0.079639   -0.059115
    0.556032   -0.320705   -0.766796
   -0.336128   -0.940357    0.052416
    0.122283    0.888323   -0.442640
   -0.619172    0.217458    0.754545
    0.927831   -0.213999    0.305507
    0.714233   -0.424534    0.556455
   -0.161648    0.514655   -0.842021
   -0.979972    0.063815    0.188633
    0.885309   -0.236609    0.400304
    0.143592    0.248094    0.958035
   -0.896318    0.132320    0.423209
   -0.973857    0.225771    0.025105
    0.916267   -0.378181    0.132042
    0.322445   -0.855106    0.405985
   -0.771153    0.259298   -0.581453
   -0.148553   -0.977643    0.148819
    0.762530    0.257235   -0.593615
   -0.262532    0.795657    0.545900
    0.573493   -0.538305   -0.617522
   -0.043891   -0.884140    0.465156
    0.305247    0.921092    0.241691
   -0.529739    0.834138   -0.153590
    0.872388    0.258222    0.415044
   -0.995848    0.033670   -0.084571
   -0.032370    0.862178   -0.505570
   -0.369427    0.582000   -0.724431
    0.620880   -0.074501   -0.780357
   -0.219224    0.356541    0.908196
   -0.765684    0.628517   -0.136726
    0.015647    0.919188    0.393507
    0.343676   -0.938733   -0.025846
    0.402564   -0.896265   -0.186147
   -0.474575    0.672748   -0.567617
    0.211163    0.227607   -0.950582
   -0.013101   -0.414432    0.909986
    0.468014   -0.068530   -0.881060
    0.186103   -0.165595   -0.968475
    0.448883   -0.611149    0.651921
    0.626220    0.034282   -0.778892
    0.068951   -0.969328    0.235902
    0.740119    0.526308   -0.418596
   -0.773025   -0.604273    0.193097
   -0.032057    0.999478   -0.004117
    0.686035   -0.722582    0.085035
