 Created on  6Dec2024 at 17:07:29 
    0.117520    0.025852    0.992734
    0.609714    0.056156   -0.790630
    0.236755   -0.015219   -0.971450
   -0.069792   -0.180161    0.981158
    0.003125    0.213828   -0.976866
    0.844815   -0.152472   -0.512875
    0.127696    0.009370   -0.991769
    0.610335    0.133766    0.780768
    0.269886   -0.172151    0.947378
    0.217686    0.431794    0.875309
   -0.415186    0.087958    0.905474
    0.139099    0.454865    0.879630
    0.170494   -0.122857    0.977670
   -0.516647    0.049470   -0.854768
   -0.101192   -0.382592   -0.918359
    0.294993   -0.538292   -0.789443
    0.482346    0.275870    0.831407
    0.139594    0.118500   -0.983093
   -0.332894    0.068195   -0.940495
   -0.179495   -0.076057    0.980814
    0.154574    0.329872    0.931285
    0.080122   -0.386738   -0.918703
    0.611652    0.133071   -0.779855
    0.038513    0.014400    0.999154
   -0.143589   -0.080176    0.986384
   -0.274122    0.066117   -0.959420
    0.292488   -0.158524    0.943038
   -0.782727   -0.260181    0.565371
   -0.126002   -0.217716    0.967845
   -0.456353    0.326186   -0.827855
    0.023695    0.195797   -0.980358
   -0.431002    0.259806   -0.864140
    0.333124    0.548006    0.767279
   -0.099471    0.288486   -0.952303
   -0.060107   -0.205900   -0.976725
    0.022739    0.070535    0.997250
    0.287700   -0.287530    0.913540
    0.257106    0.698402   -0.667930
   -0.149940    0.394380   -0.906633
    0.316168   -0.165775    0.934107
   -0.227388   -0.683837   -0.693298
   -0.394073    0.110654   -0.912393
   -0.365288    0.188291   -0.911653
    0.379230    0.195712    0.904368
   -0.416817   -0.085596    0.904951
   -0.399674    0.019167    0.916457
    0.163614   -0.471311    0.866658
   -0.296418    0.228828    0.927240
    0.078685   -0.182729    0.980010
   -0.022583    0.093954   -0.995320
    0.227171   -0.074927   -0.970968
   -0.202493   -0.649158   -0.733206
    0.280374    0.303715    0.910575
   -0.105970    0.549528   -0.828727
    0.522535    0.079277   -0.848924
   -0.076594    0.168997    0.982636
   -0.102205    0.382054    0.918471
    0.302481   -0.082340   -0.949592
   -0.364955    0.574426   -0.732696
    0.656788   -0.143014    0.740389
    0.562116   -0.130007    0.816777
   -0.528981    0.025899   -0.848238
    0.181970   -0.489209    0.852972
   -0.015666   -0.144170    0.989429
    0.043110    0.301362    0.952535
   -0.723814    0.040161   -0.688825
    0.036204    0.448551   -0.893024
    0.108883    0.611480   -0.783733
    0.450391    0.507758    0.734390
    0.222394    0.507177   -0.832654
   -0.448951    0.554166   -0.700958
    0.132838    0.243811    0.960682
   -0.052294    0.043628    0.997678
   -0.181092   -0.299741   -0.936676
    0.189613    0.410430   -0.891961
    0.330110   -0.146706    0.932472
