 Created on  5Nov2024 at 15:15:29 
   -0.181784   -0.108821    0.977299
    0.289213   -0.433357   -0.853556
   -0.646292    0.152648   -0.747666
    0.194005    0.527997    0.826790
    0.349783    0.142750    0.925891
    0.324692    0.223784   -0.918965
   -0.044158    0.377853   -0.924812
    0.478253    0.033731    0.877574
   -0.168051   -0.565596    0.807378
    0.639992    0.051588   -0.766648
   -0.242413   -0.024969   -0.969852
    0.217970    0.431714    0.875278
   -0.320388    0.633303    0.704470
    0.593590    0.559176   -0.578769
    0.432282    0.574994   -0.694633
   -0.236735    0.517986    0.821978
   -0.295283   -0.309264    0.903971
    0.808416   -0.249025   -0.533339
    0.786484   -0.392106   -0.477175
   -0.812831    0.509092    0.283074
    0.691044    0.677396    0.252174
    0.596630   -0.387103   -0.702982
   -0.032788   -0.367964   -0.929262
    0.200847    0.572281    0.795082
    0.052451   -0.067263    0.996356
   -0.078292   -0.677525   -0.731320
    0.365056   -0.368412   -0.854989
    0.522877    0.494519    0.694299
    0.682903    0.110260    0.722140
    0.390561    0.647302   -0.654571
    0.320803    0.036988   -0.946423
    0.110003   -0.216461    0.970074
    0.292381   -0.885545    0.361003
   -0.427020    0.678060   -0.598238
    0.589228    0.687338   -0.424707
   -0.165678   -0.456755    0.874028
   -0.806341   -0.567244    0.167479
    0.171523    0.951716   -0.254590
   -0.306491    0.361794   -0.880436
   -0.447734   -0.336629    0.828381
   -0.062701   -0.392391    0.917659
    0.266911    0.483431   -0.833698
    0.262159    0.962398   -0.071154
    0.427460   -0.227717    0.874884
   -0.637451    0.302994    0.708414
   -0.182446    0.008984   -0.983175
   -0.115916    0.122247   -0.985707
   -0.354619    0.051482    0.933592
   -0.197147   -0.166505    0.966131
    0.512705   -0.081328   -0.854704
    0.392192    0.291721   -0.872401
    0.322540    0.557582    0.764899
   -0.297595    0.674163    0.675975
    0.952278    0.290568   -0.093475
    0.689276   -0.351696   -0.633410
   -0.872810    0.487275    0.027672
    0.194871    0.397258    0.896778
   -0.159523   -0.239248   -0.957765
    0.528071   -0.592187   -0.608651
    0.613596    0.176873    0.769555
    0.184554   -0.267966    0.945587
    0.078957    0.534833   -0.841261
   -0.249312   -0.483267   -0.839224
   -0.066283    0.421479    0.904413
   -0.118354   -0.523763    0.843602
    0.340730   -0.216306   -0.914940
    0.753580    0.462069   -0.467556
    0.377047    0.113313    0.919236
    0.633114   -0.474790    0.611344
   -0.396575    0.835842   -0.379600
   -0.714688    0.598173   -0.362507
    0.513365   -0.441816    0.735700
   -0.133951   -0.534929    0.834211
    0.834236   -0.278047   -0.476172
    0.101057   -0.103073   -0.989527
    0.458715   -0.707565    0.537525
    0.559286   -0.346965    0.752871
    0.007572    0.486134   -0.873851
    0.108716   -0.153544   -0.982143
    0.303717   -0.664002    0.683269
    0.295387   -0.282639    0.912612
   -0.543704    0.195858   -0.816104
    0.124641    0.456586   -0.880905
    0.245475    0.506995    0.826256
   -0.504194   -0.423225    0.752774
    0.553534   -0.566476   -0.610496
    0.178933    0.072076   -0.981218
   -0.074146    0.665301    0.742884
   -0.772535    0.061423    0.631995
    0.207553   -0.132087   -0.969265
    0.234314   -0.165843   -0.957911
    0.363905   -0.877203    0.313189
    0.360479   -0.115810    0.925550
    0.701170   -0.151361   -0.696743
   -0.234850   -0.029277   -0.971591
   -0.121258    0.559946    0.819608
    0.045704    0.474905    0.878849
   -0.013465   -0.440910   -0.897450
    0.030819   -0.629045   -0.776758
    0.752471   -0.045413    0.657058
    0.025547   -0.630092    0.776100
   -0.369783    0.831589   -0.414391
   -0.922556   -0.055213   -0.381894
    0.085568   -0.238856    0.967278
    0.756369   -0.339727    0.559009
   -0.533465    0.308936   -0.787384
   -0.234305    0.858583   -0.456000
    0.032191   -0.993495    0.109235
    0.430951   -0.867534    0.248325
    0.078806    0.189952   -0.978626
   -0.511103    0.466938   -0.721625
    0.521575   -0.438634    0.731819
    0.646256    0.383612    0.659694
   -0.172770    0.544821   -0.820561
    0.621906    0.071978   -0.779777
    0.898849    0.019623    0.437818
   -0.262729    0.685935    0.678577
    0.002257   -0.205082   -0.978742
    0.470208   -0.065626   -0.880112
    0.002252   -0.041990    0.999116
   -0.661799    0.658102    0.359060
    0.553323   -0.481253   -0.679874
    0.797507   -0.496710   -0.342435
    0.298863    0.727275    0.617862
   -0.572473   -0.711338    0.407766
    0.235416    0.390308   -0.890078
   -0.145157   -0.355520   -0.923328
    0.414562    0.281119    0.865512
    0.491048   -0.189233    0.850331
    0.002307   -0.042772   -0.999082
    0.389594    0.008458   -0.920948
   -0.480143    0.113931    0.869760
    0.292898   -0.406568    0.865398
   -0.034349    0.419332   -0.907183
    0.200937   -0.446098   -0.872136
   -0.743696   -0.440143    0.503180
    0.568959   -0.324726    0.755538
   -0.328240   -0.366167   -0.870735
    0.378929    0.622182   -0.685056
    0.603722    0.549170    0.577869
    0.080409    0.036878    0.996079
   -0.013573   -0.140086   -0.990046
    0.182245   -0.466341   -0.865628
   -0.832156   -0.178686    0.524965
    0.539394    0.062580    0.839725
   -0.335934   -0.016594   -0.941739
    0.058622    0.456190   -0.887949
    0.156925    0.023794    0.987324
   -0.219036    0.248041    0.943662
    0.505334   -0.639497   -0.579380
    0.386144    0.840424   -0.380238
   -0.593079   -0.319078    0.739221
    0.014142    0.006738    0.999877
    0.181882   -0.151434   -0.971590
    0.210569   -0.539602   -0.815163
    0.050161   -0.035738    0.998101
   -0.381629    0.442434    0.811549
   -0.031869   -0.465335   -0.884561
   -0.101850    0.497048   -0.861725
   -0.329710   -0.226009    0.916630
    0.727465    0.093541    0.679739
   -0.472162   -0.765723   -0.436729
   -0.097230   -0.160654   -0.982210
   -0.239700   -0.205796    0.948784
   -0.722490    0.627290    0.290717
    0.398994   -0.695635   -0.597407
    0.073500   -0.531855   -0.843640
   -0.542626    0.616458    0.570558
   -0.847289    0.517956   -0.117573
    0.442720   -0.354830   -0.823465
    0.288063   -0.684353   -0.669836
   -0.415181    0.881826   -0.223622
   -0.511509    0.032797    0.858652
    0.100960    0.287724   -0.952377
    0.231106   -0.107339   -0.966989
   -0.507525    0.350793    0.786996
   -0.306065   -0.121065    0.944281
    0.417657   -0.298556   -0.858153
    0.295298    0.698530   -0.651809
   -0.393674    0.159302    0.905342
    0.426417   -0.716552    0.552017
   -0.436092    0.759538   -0.482623
    0.110625    0.941038   -0.319703
    0.748064   -0.559289    0.357204
    0.729540    0.361859    0.580370
   -0.300115   -0.247428   -0.921255
   -0.607667   -0.361895   -0.706946
    0.024281   -0.351803    0.935759
    0.045999   -0.477013    0.877692
    0.165751   -0.702816   -0.691793
    0.160519   -0.157063   -0.974456
    0.389726    0.506093    0.769405
    0.172504   -0.199088    0.964679
    0.732041    0.607775   -0.307774
    0.043084   -0.308433   -0.950270
   -0.498115    0.800550    0.333168
    0.544987    0.202505    0.813622
    0.110909    0.292925   -0.949681
   -0.554983   -0.058045   -0.829834
    0.319800    0.540347    0.778302
   -0.092102    0.132978    0.986830
    0.306090   -0.499926   -0.810175
    0.342242   -0.005117   -0.939598
   -0.394648   -0.038074    0.918043
