 Created on  8Aug2024 at 16:12:33 
    0.759391    0.610896   -0.223902
   -0.876310    0.283198    0.389718
    0.226908   -0.942022   -0.247198
    0.142294    0.867426    0.476785
    0.604019    0.303704   -0.736834
   -0.699839    0.580565    0.416135
    0.303287   -0.087066   -0.948913
   -0.905094   -0.232081    0.356291
   -0.013325    0.324747   -0.945707
   -0.049060   -0.030896    0.998318
   -0.098241   -0.315840   -0.943713
    0.165083   -0.367961    0.915069
   -0.301290    0.078553   -0.950291
    0.359149    0.221135    0.906704
    0.422457    0.559945   -0.712735
   -0.675734   -0.316702    0.665645
    0.475997    0.859959    0.184114
    0.251119   -0.797676    0.548318
   -0.584555   -0.492127   -0.645063
    0.505736   -0.070341    0.859816
    0.579052    0.500170   -0.643839
   -0.025518    0.100051    0.994655
    0.701418   -0.050027   -0.710992
   -0.358916   -0.675048    0.644585
    0.160405    0.620580   -0.767561
   -0.846112   -0.106514    0.522254
    0.826187   -0.206985   -0.523997
   -0.811772   -0.001150    0.583974
   -0.152732   -0.147420   -0.977210
   -0.857582   -0.038575    0.512899
    0.552621    0.633931   -0.541056
   -0.961380    0.263961    0.077930
    0.973995   -0.073924   -0.214169
    0.234419    0.225554    0.945607
    0.186698   -0.447423   -0.874618
   -0.533346    0.514992    0.671063
    0.793000   -0.439043   -0.422364
   -0.158214    0.800194    0.578496
    0.904784    0.270836   -0.328653
   -0.894262   -0.441156    0.075341
    0.227542    0.465124   -0.855502
   -0.534499    0.642421    0.549187
    0.212722   -0.188335   -0.958790
   -0.711007   -0.175842    0.680844
    0.485763   -0.665235   -0.567007
   -0.843128    0.190163    0.502965
    0.957073    0.036495   -0.287540
   -0.185118   -0.082532    0.979245
    0.194689   -0.416316   -0.888131
    0.506463   -0.772043    0.383986
    0.814454   -0.018836   -0.579923
   -0.556326   -0.180225    0.811185
    0.649828   -0.644912   -0.402260
    0.110069   -0.993447   -0.030773
   -0.004444   -0.301092   -0.953585
    0.011513    0.832547    0.553834
   -0.545316   -0.460399   -0.700473
    0.411123   -0.241417    0.879031
    0.272151   -0.156496   -0.949443
   -0.903761    0.256120   -0.342956
    0.638006   -0.769898    0.014311
    0.251401    0.829121    0.499356
    0.888288   -0.008596   -0.459206
   -0.949766   -0.019946    0.312326
    0.640618   -0.346063   -0.685455
    0.059491   -0.897761    0.436448
   -0.299163    0.324598   -0.897295
   -0.958021    0.196832    0.208453
   -0.026675   -0.415574   -0.909168
   -0.254173    0.151170    0.955272
    0.803641    0.045375   -0.593382
   -0.594978    0.485329    0.640670
    0.655367   -0.436208   -0.616617
   -0.628085    0.426065    0.651135
    0.981835   -0.034233    0.186622
   -0.935084   -0.029885    0.353163
   -0.639172   -0.768165   -0.037177
    0.336369    0.940875   -0.040112
    0.571703   -0.392936   -0.720248
   -0.614281    0.452091    0.646740
    0.366300   -0.151939   -0.918008
   -0.228018    0.890108    0.394608
    0.256172   -0.900813   -0.350588
    0.441533    0.785091    0.434374
    0.879231   -0.026498    0.475659
   -0.793071    0.313308   -0.522376
    0.469771   -0.670138   -0.574656
   -0.729204    0.171219    0.662530
    0.924540    0.360372   -0.123928
   -0.928261   -0.316229    0.195783
    0.972407    0.163514    0.166394
    0.595733   -0.776508    0.205274
    0.596334   -0.260994   -0.759123
   -0.901769    0.134088    0.410892
    0.022677   -0.840193   -0.541814
    0.346080    0.438598    0.829374
    0.389239   -0.094600   -0.916266
    0.105341    0.598022    0.794527
   -0.295604   -0.464716   -0.834660
   -0.480701   -0.480023    0.733828
    0.958765   -0.095740   -0.267587
    0.823510    0.494967    0.277198
    0.531284   -0.704729    0.470207
   -0.173771    0.850031   -0.497244
    0.502045   -0.734754   -0.456166
    0.012152    0.332783    0.942925
    0.564890   -0.377261   -0.733875
   -0.785752    0.242806   -0.568893
    0.934182   -0.279498    0.221779
   -0.814164    0.244681   -0.526562
    0.911436   -0.390791    0.128713
   -0.869644    0.458755    0.182382
    0.751426    0.156942   -0.640881
   -0.911165    0.308907   -0.272683
   -0.383445    0.923538   -0.006917
   -0.240207   -0.804422    0.543329
   -0.065347    0.917334   -0.392719
   -0.808163   -0.582454   -0.087287
   -0.142694   -0.975685   -0.166367
   -0.291151    0.300750    0.908174
    0.588050   -0.372457   -0.717964
   -0.867451    0.497508    0.003910
    0.914917    0.112344   -0.387694
   -0.253715    0.591452    0.765384
    0.939004    0.148780    0.310060
    0.027957   -0.209558    0.977397
    0.224265   -0.307914   -0.924605
   -0.845708    0.507031    0.166426
    0.371234   -0.872324    0.318175
   -0.803422    0.246925   -0.541795
    0.496726    0.461546    0.735009
   -0.819847    0.410462   -0.399215
    0.900997   -0.057087    0.430054
   -0.043949   -0.996500    0.071111
   -0.193924   -0.362642   -0.911528
   -0.788295    0.045725    0.613596
   -0.033854   -0.726535   -0.686295
   -0.984353    0.156604    0.080773
    0.668182   -0.272808   -0.692177
   -0.929163   -0.087497   -0.359166
    0.779151    0.090817   -0.620223
   -0.573281    0.634567    0.518337
    0.495349   -0.615239   -0.613278
   -0.405297    0.906566    0.117785
    0.992453   -0.100979   -0.069575
   -0.823955    0.339878    0.453411
    0.483885   -0.874569    0.031378
   -0.868678    0.493455    0.043601
    0.655256   -0.740289    0.150369
   -0.352585    0.481069   -0.802656
    0.210599    0.098826    0.972564
   -0.948789    0.181140    0.258820
    0.373835    0.567883   -0.733318
   -0.711391    0.334635    0.618015
    0.367341   -0.428934   -0.825274
    0.034177    0.941778    0.334493
    0.826192   -0.560477   -0.057199
   -0.491397    0.560217   -0.666848
    0.911782   -0.347813   -0.218357
   -0.289496    0.941523   -0.172415
    0.223120   -0.969061   -0.105536
   -0.498727    0.575013    0.648561
    0.050252   -0.679796   -0.731678
    0.008157    0.607874    0.793992
    0.990687   -0.121636    0.061194
   -0.790682    0.558293   -0.251258
    0.709187   -0.652433    0.267180
   -0.676111    0.718911    0.161373
   -0.001308   -0.127923   -0.991783
   -0.321225    0.877565    0.355942
    0.217431   -0.669474   -0.710301
   -0.927736    0.201593    0.314112
    0.999612    0.026137    0.009640
   -0.893196   -0.431720   -0.125772
    0.467885   -0.828969   -0.306423
   -0.251994    0.272815    0.928478
    0.276777    0.938045    0.208483
   -0.724951   -0.627841   -0.283305
    0.597917   -0.228438   -0.768317
   -0.588980    0.654702    0.473780
    0.556669   -0.296129   -0.776162
   -0.822327   -0.189757   -0.536442
    0.855900    0.291090   -0.427437
