 Created on  6Dec2024 at 16:52:30 
    0.049891    0.236040   -0.970462
   -0.114636   -0.160941   -0.980284
    0.843819   -0.258588    0.470215
    0.300946    0.131796   -0.944490
   -0.103179    0.306478   -0.946269
   -0.114999    0.108843   -0.987385
    0.328022   -0.052160    0.943229
   -0.737968   -0.612492   -0.283297
   -0.159901   -0.017159    0.986984
   -0.384157    0.445939    0.808432
    0.100435    0.428850    0.897775
    0.055978    0.232673   -0.970943
   -0.006854    0.102112    0.994749
   -0.101066   -0.659845   -0.744573
    0.363797    0.299593   -0.881984
   -0.093870   -0.252869    0.962936
    0.414924    0.272073    0.868225
   -0.198815    0.090909   -0.975812
   -0.155756    0.311697    0.937329
    0.104220   -0.510875   -0.853314
   -0.548111   -0.374105   -0.748077
    0.256541    0.045669    0.965454
   -0.078859    0.248499   -0.965417
    0.009093    0.647170    0.762291
   -0.007672    0.125943    0.992008
    0.176731    0.182749    0.967145
    0.093765    0.345905   -0.933573
    0.308966    0.393275   -0.865953
   -0.059031    0.170483   -0.983591
   -0.086844   -0.060999   -0.994353
   -0.180651    0.221971   -0.958172
   -0.023973    0.130667   -0.991136
   -0.510507    0.151495    0.846423
    0.580340    0.394312   -0.712547
   -0.017096   -0.027995    0.999462
    0.291337    0.067623    0.954227
   -0.300913   -0.172481    0.937924
   -0.239030    0.135094    0.961568
    0.318892   -0.144270    0.936747
    0.171067   -0.055034   -0.983721
   -0.061091    0.027934   -0.997741
    0.152855   -0.135329   -0.978939
   -0.281515    0.515675   -0.809215
   -0.257800    0.272032    0.927113
    0.119579    0.256861    0.959022
    0.130567    0.265462    0.955239
   -0.290643    0.520645    0.802780
    0.167027   -0.350539    0.921534
    0.450349    0.310692   -0.837052
    0.120179   -0.085875   -0.989031
   -0.303316    0.308281   -0.901644
   -0.204882   -0.748341    0.630880
    0.421279   -0.436390   -0.795040
   -0.137951   -0.372844   -0.917582
    0.277857    0.016428    0.960482
    0.084138   -0.431027    0.898408
    0.142522    0.342906   -0.928495
   -0.071616   -0.074184    0.994670
   -0.163530   -0.024478    0.986235
   -0.637411   -0.191907    0.746244
   -0.335482    0.211950    0.917894
    0.190166    0.024510   -0.981446
    0.007231   -0.010608   -0.999918
    0.198619   -0.082346    0.976611
    0.343436    0.091671   -0.934691
    0.186138    0.153910    0.970394
   -0.155661    0.397972    0.904095
   -0.091567   -0.329643    0.939655
   -0.193187   -0.158150   -0.968332
    0.622068    0.093305   -0.777384
   -0.112704    0.391581   -0.913215
   -0.587088   -0.030617   -0.808944
   -0.216409   -0.436670   -0.873205
   -0.217249   -0.259917    0.940875
   -0.238227   -0.564858    0.790053
   -0.097103   -0.024834   -0.994964
    0.163383    0.038327    0.985818
    0.198415   -0.115669    0.973269
   -0.403405   -0.125978   -0.906308
    0.115126    0.627098    0.770386
   -0.068378   -0.232280    0.970243
    0.254235   -0.133703    0.957856
   -0.182928    0.480922    0.857468
   -0.078404   -0.194070    0.977850
   -0.275738    0.118589   -0.953889
    0.559063   -0.565204   -0.606625
   -0.211734    0.000914   -0.977327
   -0.221964    0.208452    0.952512
    0.038379   -0.044858   -0.998256
    0.043711    0.006866   -0.999021
   -0.236526    0.489889    0.839086
   -0.339779   -0.030553    0.940009
    0.929181    0.303615   -0.210809
   -0.034095    0.166820    0.985398
   -0.360649    0.131108    0.923441
    0.151375   -0.117297   -0.981492
   -0.352360   -0.282512   -0.892205
    0.068152   -0.447022   -0.891923
   -0.139215   -0.273530   -0.951735
    0.069320   -0.022466    0.997342
    0.346648    0.128249   -0.929186
   -0.132993    0.612569    0.779149
    0.048252   -0.044601    0.997839
   -0.478493   -0.582365    0.657188
   -0.222496   -0.152973   -0.962858
   -0.185375    0.253871   -0.949308
   -0.214677   -0.307631   -0.926972
   -0.290530   -0.266273   -0.919071
    0.280991   -0.089718   -0.955508
   -0.407045    0.438520    0.801258
    0.378560   -0.120399    0.917713
   -0.657038    0.307968   -0.688082
    0.061109   -0.029268    0.997702
   -0.582608    0.004723    0.812740
    0.362843   -0.295607   -0.883720
   -0.112914    0.086530    0.989830
    0.409174    0.146102    0.900684
   -0.045596   -0.159870   -0.986084
    0.596815    0.025768   -0.801965
    0.099432   -0.082744    0.991598
    0.175180   -0.525287   -0.832698
    0.396811   -0.151656   -0.905286
    0.009383   -0.059975   -0.998156
    0.147749    0.285348    0.946967
    0.242829    0.064850   -0.967899
   -0.197131   -0.111368   -0.974031
   -0.597903    0.181694    0.780704
    0.345056   -0.042766    0.937607
    0.367536    0.149593   -0.917899
    0.274084    0.146184    0.950530
   -0.444154   -0.069487    0.893252
   -0.698671    0.098112   -0.708684
   -0.184363   -0.033159   -0.982299
   -0.020472   -0.522470   -0.852412
   -0.371305    0.064426   -0.926273
    0.168738    0.012556    0.985581
    0.000811    0.446988    0.894539
   -0.262988   -0.071562    0.962141
   -0.266318    0.386646    0.882938
    0.286956    0.227804    0.930463
   -0.132538    0.329138   -0.934934
   -0.342069    0.050337   -0.938326
   -0.129529   -0.444251   -0.886489
    0.443716    0.552680   -0.705451
   -0.188054    0.072760   -0.979460
    0.131785    0.437551    0.889484
    0.078554    0.011273    0.996846
    0.093725    0.061244   -0.993713
    0.006841    0.408422    0.912768
   -0.056504    0.354636    0.933295
    0.297181   -0.721542   -0.625348
   -0.278076    0.078460    0.957349
   -0.139074    0.283182    0.948929
   -0.025507   -0.021343   -0.999447
    0.178789   -0.144472   -0.973223
    0.288582   -0.102809    0.951920
   -0.278186   -0.031990   -0.959994
   -0.482949   -0.043706    0.874557
   -0.083982    0.513596    0.853913
    0.150005   -0.452698    0.878956
    0.139245   -0.020419   -0.990047
    0.048922   -0.419187   -0.906581
   -0.208123    0.232911    0.949967
   -0.385380    0.053001    0.921234
   -0.169959    0.349980   -0.921210
   -0.280252    0.180920    0.942723
    0.379980   -0.069931    0.922347
   -0.049306    0.215646   -0.975226
   -0.280757   -0.207015   -0.937188
    0.019194   -0.219441   -0.975437
   -0.074716   -0.234044   -0.969351
    0.283595    0.160140    0.945478
    0.554747    0.122172    0.823001
   -0.429841    0.434626    0.791415
    0.121293   -0.188412    0.974571
   -0.090495    0.024836    0.995587
    0.239048    0.015904   -0.970878
    0.049684    0.272005   -0.961012
    0.487376    0.289534   -0.823793
   -0.372301    0.345392   -0.861450
   -0.128627   -0.672417   -0.728911
    0.009660   -0.077996    0.996907
    0.322123   -0.311111    0.894118
    0.253190   -0.298191   -0.920313
   -0.304172   -0.178162    0.935808
   -0.407959    0.053788    0.911414
   -0.355919   -0.170990   -0.918740
    0.009689   -0.234421    0.972087
    0.031567   -0.035072    0.998886
   -0.089213   -0.026971   -0.995647
   -0.507473    0.201638   -0.837743
   -0.530398   -0.095267    0.842379
   -0.061202    0.216198   -0.974429
   -0.216359    0.051274    0.974967
   -0.028810   -0.286019    0.957791
    0.245186    0.269855    0.931162
   -0.405682    0.089230   -0.909648
    0.002214    0.580695   -0.814118
   -0.357802    0.296180   -0.885582
   -0.239403   -0.187290    0.952685
    0.852577   -0.164789   -0.495941
    0.168804   -0.466748    0.868131
    0.137755   -0.451174    0.881740
   -0.271980    0.576490   -0.770510
   -0.042979    0.150987   -0.987601
   -0.221691   -0.167555   -0.960614
   -0.496695   -0.522236   -0.693227
   -0.365434    0.509977    0.778705
    0.053380   -0.400218    0.914864
   -0.054709    0.337169    0.939853
    0.315517   -0.214360    0.924391
   -0.000696    0.505053    0.863088
    0.108557   -0.062162   -0.992145
    0.390023    0.162134   -0.906419
   -0.313734   -0.035813   -0.948835
   -0.138465    0.207856    0.968309
    0.150439   -0.353457   -0.923275
   -0.012125   -0.259628   -0.965633
   -0.233253    0.082694    0.968893
    0.312976    0.342816   -0.885733
   -0.290639   -0.726361    0.622839
   -0.579641   -0.179496    0.794857
   -0.014902   -0.106175   -0.994236
   -0.198938   -0.269999    0.942085
    0.142724   -0.329143    0.933432
   -0.051638   -0.097506   -0.993894
   -0.216087   -0.005319   -0.976360
    0.362239    0.027246    0.931687
   -0.270058   -0.530912   -0.803244
   -0.147317   -0.246734    0.957820
    0.192408    0.325962    0.925596
    0.137095    0.495206    0.857890
