 Created on  1Aug2024 at 19:52:59 
    0.388640   -0.310823   -0.867380
    0.127905    0.554299    0.822431
    0.633284   -0.405995    0.658878
    0.245439    0.885834   -0.393773
   -0.338705   -0.042178   -0.939947
    0.023416   -0.834995    0.549759
   -0.620480    0.377614   -0.687322
    0.276184   -0.084395    0.957392
    0.070462   -0.737075    0.672128
    0.029957    0.034946   -0.998940
   -0.804169    0.092484   -0.587162
   -0.367975    0.477140    0.798080
   -0.166071   -0.208739    0.963768
    0.506265    0.139016   -0.851100
   -0.499252   -0.117008   -0.858520
    0.113149   -0.767352    0.631164
   -0.432864   -0.478435    0.764021
   -0.215778    0.194447   -0.956886
    0.519141    0.455781   -0.723019
   -0.042654   -0.333134    0.941914
    0.460388    0.067883    0.885119
    0.920495    0.167660   -0.352957
    0.055477   -0.272449   -0.960570
    0.178140   -0.736372    0.652704
   -0.156030   -0.299663    0.941200
    0.055440    0.882882   -0.466311
    0.272371   -0.000409    0.962192
    0.189158   -0.004793   -0.981935
   -0.842718   -0.391831   -0.369182
   -0.347351   -0.602908    0.718226
    0.256402   -0.011692    0.966499
   -0.211440    0.389447   -0.896451
    0.273145    0.538911   -0.796848
    0.089418   -0.245603    0.965238
   -0.249676   -0.138154    0.958423
   -0.146259    0.509719   -0.847818
    0.053890    0.487162   -0.871647
   -0.383663   -0.596101    0.705313
   -0.272643   -0.858044    0.435232
    0.403177    0.508287   -0.760981
   -0.071549   -0.060217   -0.995618
    0.415133   -0.754094    0.508926
   -0.441365   -0.360985    0.821515
    0.080281    0.412657   -0.907342
   -0.236178    0.760194   -0.605248
    0.132350    0.332930    0.933617
   -0.195976    0.591849   -0.781862
    0.640308    0.556795    0.529137
   -0.096224   -0.103028    0.990013
   -0.124529    0.823677   -0.553216
    0.017136   -0.371161   -0.928411
   -0.681329   -0.020542    0.731689
    0.001837   -0.565977    0.824419
   -0.155436    0.175051   -0.972212
    0.188880    0.517538   -0.834553
   -0.137417   -0.401237    0.905608
    0.168306    0.610998    0.773534
    0.009642    0.004168   -0.999945
    0.099421    0.776646   -0.622043
    0.194708    0.200411    0.960169
   -0.031590    0.405770    0.913429
    0.208821    0.379880   -0.901157
   -0.520188    0.325611   -0.789546
   -0.694798   -0.271016    0.666187
    0.805780   -0.355277    0.473810
    0.051835    0.259182   -0.964437
    0.850116    0.076437    0.521019
   -0.278137   -0.613812   -0.738833
    0.061157    0.574592   -0.816152
    0.268126    0.053004    0.961925
    0.205258   -0.356875    0.911323
    0.211415    0.880754   -0.423764
   -0.519759   -0.200586   -0.830431
    0.089887    0.076472    0.993012
   -0.748971   -0.466845    0.470211
   -0.047121    0.973692   -0.222942
    0.378267    0.293041   -0.878089
    0.021884   -0.261784    0.964878
   -0.162925   -0.300144    0.939877
    0.063409    0.364962   -0.928861
    0.390653    0.623870   -0.676887
    0.216732   -0.424907    0.878909
   -0.431330   -0.834096    0.343858
    0.201833   -0.082427   -0.975945
    0.452682    0.102100   -0.885807
    0.271661   -0.326678    0.905252
   -0.631427   -0.309449   -0.711014
   -0.086816   -0.502601    0.860149
    0.909466   -0.071424    0.409597
    0.038490    0.788815   -0.613424
   -0.250565   -0.078004   -0.964952
    0.703439   -0.487756    0.516979
    0.957669   -0.188968    0.217167
   -0.003461   -0.327204   -0.944947
   -0.367601    0.480336   -0.796334
    0.280002    0.116568    0.952896
    0.659455   -0.403349    0.634372
   -0.199760    0.581261   -0.788817
   -0.420886   -0.148647   -0.894852
    0.381806   -0.006842    0.924217
    0.362483    0.038060    0.931213
   -0.081353    0.032856   -0.996144
    0.667426   -0.194730   -0.718765
   -0.322245   -0.128863    0.937845
   -0.089494   -0.697728    0.710750
   -0.408441    0.688345   -0.599464
   -0.423012   -0.041835    0.905158
   -0.072789   -0.203698   -0.976324
   -0.855461    0.499368   -0.137179
    0.119225   -0.940690    0.317628
   -0.147209   -0.205312    0.967562
    0.445229   -0.126330   -0.886460
   -0.249581   -0.548827   -0.797808
    0.611599   -0.432045    0.662785
    0.498017   -0.652678    0.570956
    0.505262    0.589279   -0.630445
    0.302621   -0.112935   -0.946397
    0.370250    0.223367    0.901677
    0.330462   -0.178531    0.926780
    0.077026    0.777524   -0.624119
   -0.539931    0.245495   -0.805113
   -0.371609   -0.580130    0.724814
    0.611752    0.288108    0.736718
    0.178358    0.532480   -0.827438
    0.392534    0.497125   -0.773811
   -0.140241   -0.121769    0.982601
    0.840198    0.461595   -0.284600
    0.206100   -0.898750    0.387003
   -0.228747    0.455784    0.860196
    0.194078    0.729215   -0.656185
    0.405648    0.885984   -0.224681
    0.530707   -0.463246    0.709756
   -0.146585   -0.763281    0.629217
   -0.327422    0.578215   -0.747303
   -0.469071    0.564113   -0.679521
    0.045468   -0.428879    0.902217
   -0.487178   -0.239057    0.839946
    0.261752   -0.151073   -0.953238
   -0.302946   -0.144655   -0.941965
    0.650018    0.170589    0.740524
   -0.533443   -0.671570    0.514230
    0.591761    0.069246   -0.803134
   -0.690701    0.236504   -0.683372
   -0.584457    0.574924    0.572601
   -0.353866   -0.492355    0.795214
    0.100426   -0.319648   -0.942199
   -0.178202   -0.566978    0.804227
    0.192732    0.002102   -0.981249
   -0.670631    0.440612   -0.596754
    0.525119   -0.675539    0.517587
   -0.172966   -0.054396    0.983425
   -0.159301   -0.512810   -0.843593
   -0.692037    0.468159   -0.549466
   -0.014506   -0.349160    0.936951
    0.107342   -0.194537    0.975004
    0.920496    0.060755   -0.386001
   -0.290546    0.256162   -0.921935
   -0.333337   -0.414311    0.846896
   -0.062676    0.124574    0.990229
   -0.198189    0.108689   -0.974119
   -0.512665   -0.068647   -0.855840
   -0.307419   -0.159503    0.938111
    0.529646    0.311799    0.788832
   -0.533911   -0.168404   -0.828601
    0.641847    0.601400   -0.475763
    0.520724   -0.272437    0.809089
   -0.706268    0.256637   -0.659790
    0.373294   -0.415952    0.829238
   -0.286137   -0.509990    0.811194
   -0.407571    0.385575   -0.827779
    0.177489    0.380916   -0.907414
    0.661349    0.013072    0.749965
    0.260964   -0.216906    0.940664
   -0.100312    0.465606   -0.879289
   -0.006917   -0.604770   -0.796370
    0.606637   -0.518281    0.602807
    0.525175   -0.149477    0.837764
    0.178522    0.749991   -0.636902
    0.612724    0.769833   -0.178679
    0.066864    0.166591    0.983756
    0.391736   -0.494518    0.775884
    0.072116   -0.239323   -0.968258
    0.375261    0.684616   -0.624885
    0.137013   -0.447596    0.883677
   -0.119674   -0.626491    0.770186
   -0.054520    0.749936   -0.659259
   -0.357288   -0.537593    0.763766
    0.300102   -0.919928   -0.252332
   -0.488808    0.352959   -0.797801
    0.413019    0.126726    0.901862
   -0.355148   -0.611425    0.707127
   -0.061277   -0.496152   -0.866071
   -0.360893    0.778579   -0.513392
    0.436249    0.120846    0.891674
   -0.722243   -0.040110    0.690475
    0.367694    0.752149   -0.546876
   -0.319856    0.290171   -0.901938
   -0.022572    0.407882    0.912755
   -0.582050   -0.303984    0.754196
    0.127562    0.051451   -0.990495
    0.217938    0.753380   -0.620421
   -0.759608   -0.225006    0.610219
    0.259734   -0.588391    0.765725
    0.203866    0.660860   -0.722290
    0.299000   -0.042649   -0.953299
    0.205944    0.160867    0.965251
   -0.475230   -0.181936   -0.860846
    0.587300   -0.432217    0.684300
    0.471746    0.008432    0.881694
   -0.560857    0.588087   -0.582746
    0.063218    0.071316   -0.995448
    0.524282   -0.552262    0.648178
    0.530502   -0.024164    0.847339
    0.420706    0.121298   -0.899051
   -0.113559    0.674332   -0.729644
   -0.145145   -0.668275    0.729617
   -0.238028   -0.958883    0.154549
    0.523384    0.736779   -0.428049
   -0.106127    0.360511   -0.926698
    0.133285   -0.769865    0.624133
   -0.312829   -0.679796    0.663336
   -0.152571    0.837847   -0.524151
    0.374789    0.129259   -0.918055
   -0.082582   -0.606619    0.790692
    0.204558   -0.267340    0.941640
   -0.027447    0.515738   -0.856306
   -0.100048    0.210851    0.972385
    0.037210    0.361282   -0.931714
   -0.490437    0.057872   -0.869553
   -0.211748   -0.166660    0.963009
   -0.206045   -0.825083    0.526102
   -0.015187    0.623224   -0.781896
   -0.111613    0.411537   -0.904533
   -0.211020   -0.552312    0.806488
    0.413559    0.227824    0.881513
    0.213576    0.174438   -0.961227
    0.612093   -0.285034   -0.737630
    0.497667   -0.547255    0.672933
    0.207930   -0.314247    0.926290
    0.159361   -0.212137   -0.964159
    0.269037    0.386388   -0.882226
    0.165280    0.628088    0.760386
   -0.294941   -0.207552    0.932702
   -0.057355   -0.526973   -0.847944
    0.028911   -0.478316   -0.877712
    0.014440   -0.030751    0.999423
   -0.415119    0.459142   -0.785407
    0.402146   -0.542204    0.737762
    0.294955   -0.020240    0.955297
    0.728076    0.402429   -0.554939
   -0.360859   -0.092266   -0.928045
    0.698295   -0.534224    0.476433
    0.174496   -0.550196    0.816600
   -0.515505    0.622980   -0.588345
    0.254826    0.494721   -0.830852
   -0.498249   -0.442767    0.745456
    0.424476   -0.897928    0.116387
   -0.285564    0.629152   -0.722926
    0.244922    0.629380   -0.737491
   -0.583150   -0.762676    0.279752
   -0.082341   -0.575350    0.813752
   -0.095862    0.533007   -0.840663
   -0.548611    0.632191   -0.547138
   -0.338013   -0.456340    0.823104
    0.232141   -0.074160    0.969851
   -0.642997    0.017807   -0.765662
   -0.022435   -0.393449    0.919073
